Magma V2.28-11    Sun May  4 2025 19:26:43 on kashi    [Seed = 610007098]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/QECC_FromQT/auto_run_theorem_3/Input/q5\
_n40.m"
Quantum Code Found: [[40, 38, ≥ 2]]
Quantum Code Found: [[40, 36, ≥ 2]]
Quantum Code Found: [[40, 34, ≥ 2]]
Quantum Code Found: [[40, 32, ≥ 2]]
Quantum Code Found: [[40, 30, ≥ 2]]
Quantum Code Found: [[40, 38, ≥ 2]]
Quantum Code Found: [[40, 36, ≥ 2]]
Quantum Code Found: [[40, 34, ≥ 3]]
Quantum Code Found: [[40, 32, ≥ 3]]
Quantum Code Found: [[40, 30, ≥ 3]]
Quantum Code Found: [[40, 28, ≥ 3]]
Quantum Code Found: [[40, 36, ≥ 2]]
Quantum Code Found: [[40, 34, ≥ 3]]
Quantum Code Found: [[40, 32, ≥ 3]]
Quantum Code Found: [[40, 30, ≥ 3]]
Quantum Code Found: [[40, 28, ≥ 3]]
Quantum Code Found: [[40, 26, ≥ 3]]
Quantum Code Found: [[40, 34, ≥ 2]]
Quantum Code Found: [[40, 32, ≥ 3]]
Quantum Code Found: [[40, 30, ≥ 3]]
Quantum Code Found: [[40, 28, ≥ 3]]
Quantum Code Found: [[40, 26, ≥ 3]]
Quantum Code Found: [[40, 24, ≥ 3]]
Quantum Code Found: [[40, 32, ≥ 2]]
Quantum Code Found: [[40, 30, ≥ 3]]
Quantum Code Found: [[40, 28, ≥ 3]]
Quantum Code Found: [[40, 26, ≥ 3]]
Quantum Code Found: [[40, 24, ≥ 3]]
Quantum Code Found: [[40, 22, ≥ 3]]
Quantum Code Found: [[40, 30, ≥ 2]]
Quantum Code Found: [[40, 28, ≥ 3]]
Quantum Code Found: [[40, 26, ≥ 3]]
Quantum Code Found: [[40, 24, ≥ 3]]
Quantum Code Found: [[40, 22, ≥ 3]]
Quantum Code Found: [[40, 20, ≥ 3]]
Quantum Code Found: [[40, 38, ≥ 2]]
Quantum Code Found: [[40, 36, ≥ 2]]
Quantum Code Found: [[40, 34, ≥ 2]]
Quantum Code Found: [[40, 32, ≥ 2]]
Quantum Code Found: [[40, 30, ≥ 2]]
Quantum Code Found: [[40, 36, ≥ 2]]
Quantum Code Found: [[40, 34, ≥ 2]]
Quantum Code Found: [[40, 32, ≥ 3]]
